Timestamp,Are you currently a fan of any professional sports teams? ,How interested would you be in supporting a new NBA team based in Las Vegas?,What would most influence your decision to support a new NBA team in Las Vegas? ( **Select up to 3 choices ),What is the most you’d be willing to pay for a regular-season lower-bowl ticket? ,"Would you be more likely to support the team if it honored the legacy of a relocated franchise ( kept part of the name, colors, or history) ?",Which of the following digital experiences would make you more engaged as a fan? ,"How important is it to you that the team is involved in local community outreach ( events, charity, schools ) ?","In your opinion, how would a new NBA team benefit Las Vegas? ",Do you foresee any downsides or challenges to adding a new NBA team to Las Vegas? ,What’s your age group? ,Cleaned Digital Engagement
3/25/2025 19:30:48,"NFL, NBA, MLB",Very interested,"Affordable ticket prices, Community involvement, Winning record",Over $100,"Maybe, depends on how it's done","Mobile app with team updates and highlights, Live, real-time, in-game betting features, Loyalty rewards program",Very important,"Job creation and economic growth, More entertainment options, Create more unity within the city","If u build it, will they come ?",25 - 34,"Loyalty Rewards, Mobile App"
3/25/2025 20:21:02,"NFL, NBA",Very interested,"Affordable ticket prices, Star players, Team branding ( logo, colors, mascot )",$51 - $75,"Maybe, depends on how it's done","Mobile app with team updates and highlights, Loyalty rewards program",Very important,"Job creation and economic growth, More entertainment options, Create more unity within the city",Perhaps a challenge would be location of arena ,18 - 24,"Loyalty Rewards, Mobile App"
3/26/2025 13:30:57,"NFL, NBA, MLB, WNBA",No interest at all,Star players,Over $100,"Yes, honoring history is important","Live, real-time, in-game betting features",,I don't think it would benefit the city,,25 - 34,"Live, real-time, in-game betting features"
3/26/2025 13:58:42,"NFL, NBA, MLB",Neutral,"Star players, Team branding ( logo, colors, mascot ), Winning record",Over $100,"Yes, honoring history is important","Mobile app with team updates and highlights, Live, real-time, in-game betting features, Loyalty rewards program, Exclusive behind-the-scenes content",Very important,"Job creation and economic growth, More entertainment options, Create more unity within the city",No downsides. ,25 - 34,"Behind-the-Scenes, Loyalty Rewards, Mobile App"
3/26/2025 15:48:13,"NFL, NBA, MLB, MLS",No interest at all,"Affordable ticket prices, Social media presence",$51 - $75,"Yes, honoring history is important","Loyalty rewards program, Exclusive behind-the-scenes content",Somewhat important,Job creation and economic growth,"There would be downsides to fan loyalty as it would decrease if the NBA team is a relocated team, not a brand new team.",18 - 24,"Behind-the-Scenes, Loyalty Rewards"
3/26/2025 15:48:38,"NFL, NBA, MLB, WNBA",Somewhat interested,"Affordable ticket prices, Star players, Team branding ( logo, colors, mascot ), Winning record",$51 - $75,"Yes, honoring history is important","Mobile app with team updates and highlights, Loyalty rewards program",Neutral,"Job creation and economic growth, More entertainment options, Create more unity within the city",,18 - 24,"Loyalty Rewards, Mobile App"
3/26/2025 15:54:51,I'm not a fan of professional sports,Somewhat interested,"Affordable ticket prices, Star players, Social media presence",$51 - $75,"Maybe, depends on how it's done","Live, real-time, in-game betting features, Loyalty rewards program",Somewhat important,Job creation and economic growth,Housing prices ,18 - 24,Loyalty Rewards
3/26/2025 16:07:16,NBA,Neutral,"Star players, Team branding ( logo, colors, mascot ), Community involvement",$25 - $50,"Maybe, depends on how it's done",Loyalty rewards program,Very important,"Job creation and economic growth, More entertainment options",Speculation of the mavericks moving to Las Vegas ,25 - 34,Loyalty Rewards
3/26/2025 16:14:43,NFL,Somewhat interested,"Affordable ticket prices, Star players",$51 - $75,"Maybe, depends on how it's done",I have no interest in digital fan experiences,Somewhat important,I don't think it would benefit the city,,25 - 34,No Interest
3/26/2025 21:32:10,"NFL, NBA, MLB, WNBA",Very interested,"Affordable ticket prices, Star players, Community involvement",$76 - $100,"Yes, honoring history is important","Mobile app with team updates and highlights, Live, real-time, in-game betting features, Loyalty rewards program, Exclusive behind-the-scenes content",Very important,"Job creation and economic growth, More entertainment options, Create more unity within the city",Not really.,55+,"Behind-the-Scenes, Loyalty Rewards, Mobile App"
3/27/2025 8:35:19,"NBA, MLB, WNBA",Very interested,"Affordable ticket prices, Winning record, Social media presence",Over $100,"No, I prefer a completely fresh start","Mobile app with team updates and highlights, Loyalty rewards program, Exclusive behind-the-scenes content",Very important,"Job creation and economic growth, More entertainment options","If its a relocated team, the city thats theyre leaving could have an economic downside. A challenging part would be getting new fans ",18 - 24,"Behind-the-Scenes, Loyalty Rewards, Mobile App"
3/30/2025 21:11:54,"NFL, NBA, NHL",Somewhat interested,"Affordable ticket prices, Star players, Team branding ( logo, colors, mascot )",$51 - $75,"Yes, honoring history is important","Mobile app with team updates and highlights, Live, real-time, in-game betting features",Very important,Job creation and economic growth,,25 - 34,Mobile App
4/1/2025 6:28:30,"NFL, NBA, MLB",Neutral,"Affordable ticket prices, Star players",$76 - $100,"Yes, honoring history is important","Live, real-time, in-game betting features",Neutral,Job creation and economic growth,Since it will be the newest team might be hard to sell tickets and get players at first ,18 - 24,"Live, real-time, in-game betting features"
4/22/2025 23:07:28,"NFL, NBA",Somewhat interested,"Affordable ticket prices, Star players, Winning record",$76 - $100,"Maybe, depends on how it's done",Mobile app with team updates and highlights,Somewhat important,Job creation and economic growth,More traffic ,35 - 44,Mobile App
11/9/2025 22:59:25,NBA,Very interested,Winning record,Over $100,"Maybe, depends on how it's done","Mobile app with team updates and highlights, Live, real-time, in-game betting features, Loyalty rewards program, Exclusive behind-the-scenes content",Very important,"Job creation and economic growth, More entertainment options, Create more unity within the city",,25 - 34,"Behind-the-Scenes, Loyalty Rewards, Mobile App"
